,classification,mol_sentence
942,0,MolSentence with 34 words
943,0,MolSentence with 110 words
944,0,MolSentence with 76 words
945,0,MolSentence with 44 words
946,0,MolSentence with 96 words
947,1,MolSentence with 16 words
948,1,MolSentence with 36 words
949,1,MolSentence with 52 words
950,1,MolSentence with 42 words
951,1,MolSentence with 66 words
952,1,MolSentence with 30 words
953,1,MolSentence with 66 words
954,1,MolSentence with 26 words
955,1,MolSentence with 58 words
956,1,MolSentence with 40 words
957,1,MolSentence with 26 words
958,1,MolSentence with 50 words
959,1,MolSentence with 54 words
960,1,MolSentence with 66 words
961,1,MolSentence with 52 words
962,1,MolSentence with 68 words
963,1,MolSentence with 62 words
964,1,MolSentence with 32 words
965,1,MolSentence with 50 words
966,1,MolSentence with 54 words
967,1,MolSentence with 34 words
968,1,MolSentence with 72 words
969,1,MolSentence with 42 words
970,1,MolSentence with 50 words
971,1,MolSentence with 48 words
972,1,MolSentence with 56 words
973,1,MolSentence with 20 words
974,1,MolSentence with 64 words
975,1,MolSentence with 22 words
976,1,MolSentence with 48 words
977,1,MolSentence with 66 words
978,1,MolSentence with 36 words
979,1,MolSentence with 30 words
980,1,MolSentence with 56 words
981,1,MolSentence with 40 words
982,1,MolSentence with 46 words
983,1,MolSentence with 52 words
984,1,MolSentence with 38 words
985,1,MolSentence with 66 words
986,1,MolSentence with 72 words
987,1,MolSentence with 72 words
988,1,MolSentence with 66 words
989,1,MolSentence with 36 words
990,1,MolSentence with 58 words
991,1,MolSentence with 38 words
992,1,MolSentence with 51 words
993,1,MolSentence with 50 words
994,1,MolSentence with 44 words
995,1,MolSentence with 38 words
996,1,MolSentence with 58 words
997,1,MolSentence with 28 words
998,1,MolSentence with 18 words
999,1,MolSentence with 12 words
1000,1,MolSentence with 52 words
1001,1,MolSentence with 32 words
1002,1,MolSentence with 66 words
1003,1,MolSentence with 56 words
1004,1,MolSentence with 30 words
1005,1,MolSentence with 60 words
1006,1,MolSentence with 24 words
1007,1,MolSentence with 26 words
1008,1,MolSentence with 44 words
1009,1,MolSentence with 44 words
1010,1,MolSentence with 44 words
1011,1,MolSentence with 60 words
1012,1,MolSentence with 56 words
1013,1,MolSentence with 38 words
1014,1,MolSentence with 42 words
1015,1,MolSentence with 40 words
1016,1,MolSentence with 48 words
1017,1,MolSentence with 28 words
1018,1,MolSentence with 28 words
1019,1,MolSentence with 56 words
1020,1,MolSentence with 56 words
1021,1,MolSentence with 56 words
1022,1,MolSentence with 26 words
1023,1,MolSentence with 44 words
1024,1,MolSentence with 26 words
1025,1,MolSentence with 56 words
1026,1,MolSentence with 48 words
1027,1,MolSentence with 22 words
1028,1,MolSentence with 62 words
1029,1,MolSentence with 46 words
1030,1,MolSentence with 42 words
1031,1,MolSentence with 70 words
1032,1,MolSentence with 46 words
1033,1,MolSentence with 49 words
1034,1,MolSentence with 16 words
1035,1,MolSentence with 48 words
1036,1,MolSentence with 68 words
1037,1,MolSentence with 72 words
1038,1,MolSentence with 68 words
1039,1,MolSentence with 52 words
1040,1,MolSentence with 32 words
1041,1,MolSentence with 34 words
1042,1,MolSentence with 58 words
1043,1,MolSentence with 108 words
1044,1,MolSentence with 30 words
1045,1,MolSentence with 54 words
1046,1,MolSentence with 46 words
1047,1,MolSentence with 28 words
1048,1,MolSentence with 22 words
1049,1,MolSentence with 8 words
1050,1,MolSentence with 24 words
1051,1,MolSentence with 28 words
1052,1,MolSentence with 44 words
1053,1,MolSentence with 34 words
1054,1,MolSentence with 30 words
1055,1,MolSentence with 56 words
1056,1,MolSentence with 58 words
1057,1,MolSentence with 30 words
1058,1,MolSentence with 48 words
1059,1,MolSentence with 66 words
1060,1,MolSentence with 52 words
1061,1,MolSentence with 52 words
1062,1,MolSentence with 22 words
1063,1,MolSentence with 38 words
1064,1,MolSentence with 48 words
1065,1,MolSentence with 38 words
1066,1,MolSentence with 46 words
1067,1,MolSentence with 26 words
1068,1,MolSentence with 34 words
1069,1,MolSentence with 30 words
1070,1,MolSentence with 50 words
1071,1,MolSentence with 60 words
1072,1,MolSentence with 26 words
1073,1,MolSentence with 22 words
1074,1,MolSentence with 46 words
1075,1,MolSentence with 122 words
1076,1,MolSentence with 66 words
1077,1,MolSentence with 18 words
1078,1,MolSentence with 40 words
1079,1,MolSentence with 58 words
1080,1,MolSentence with 34 words
1081,1,MolSentence with 28 words
1082,1,MolSentence with 34 words
1083,1,MolSentence with 8 words
1084,1,MolSentence with 28 words
1085,1,MolSentence with 78 words
1086,1,MolSentence with 54 words
1087,1,MolSentence with 78 words
1088,1,MolSentence with 42 words
1089,1,MolSentence with 18 words
1090,1,MolSentence with 22 words
1091,1,MolSentence with 50 words
1092,1,MolSentence with 48 words
1093,1,MolSentence with 50 words
1094,1,MolSentence with 50 words
1095,1,MolSentence with 74 words
1096,1,MolSentence with 46 words
1097,1,MolSentence with 52 words
1098,1,MolSentence with 28 words
1099,1,MolSentence with 56 words
1100,1,MolSentence with 66 words
1101,1,MolSentence with 68 words
1102,1,MolSentence with 56 words
1103,1,MolSentence with 62 words
1104,1,MolSentence with 68 words
1105,1,MolSentence with 46 words
1106,1,MolSentence with 42 words
1107,1,MolSentence with 60 words
1108,1,MolSentence with 54 words
1109,1,MolSentence with 56 words
1110,1,MolSentence with 54 words
1111,1,MolSentence with 28 words
1112,1,MolSentence with 34 words
1113,1,MolSentence with 54 words
1114,1,MolSentence with 46 words
1115,1,MolSentence with 42 words
1116,1,MolSentence with 68 words
1117,1,MolSentence with 60 words
1118,1,MolSentence with 46 words
1119,1,MolSentence with 54 words
1120,1,MolSentence with 60 words
1121,1,MolSentence with 50 words
1122,1,MolSentence with 58 words
1123,1,MolSentence with 96 words
1124,1,MolSentence with 78 words
1125,1,MolSentence with 26 words
1126,1,MolSentence with 44 words
1127,1,MolSentence with 36 words
1128,1,MolSentence with 32 words
1129,1,MolSentence with 54 words
1130,1,MolSentence with 32 words
1131,1,MolSentence with 34 words
1132,1,MolSentence with 42 words
1133,1,MolSentence with 46 words
1134,1,MolSentence with 42 words
1135,1,MolSentence with 36 words
1136,1,MolSentence with 62 words
1137,1,MolSentence with 32 words
1138,1,MolSentence with 46 words
1139,1,MolSentence with 30 words
1140,1,MolSentence with 40 words
1141,1,MolSentence with 40 words
1142,1,MolSentence with 48 words
1143,1,MolSentence with 40 words
1144,1,MolSentence with 40 words
1145,1,MolSentence with 46 words
1146,1,MolSentence with 50 words
1147,1,MolSentence with 30 words
1148,1,MolSentence with 54 words
1149,1,MolSentence with 60 words
1150,1,MolSentence with 54 words
1151,1,MolSentence with 28 words
1152,1,MolSentence with 76 words
1153,1,MolSentence with 28 words
1154,1,MolSentence with 28 words
1155,1,MolSentence with 46 words
1156,1,MolSentence with 54 words
1157,1,MolSentence with 60 words
1158,1,MolSentence with 40 words
1159,1,MolSentence with 60 words
1160,1,MolSentence with 82 words
1161,1,MolSentence with 66 words
1162,1,MolSentence with 56 words
1163,1,MolSentence with 68 words
1164,1,MolSentence with 44 words
1165,1,MolSentence with 18 words
1166,1,MolSentence with 36 words
1167,1,MolSentence with 24 words
1168,1,MolSentence with 20 words
1169,1,MolSentence with 40 words
1170,1,MolSentence with 44 words
1171,1,MolSentence with 62 words
1172,1,MolSentence with 44 words
1173,1,MolSentence with 34 words
1174,1,MolSentence with 62 words
1175,1,MolSentence with 58 words
1176,1,MolSentence with 46 words
1177,1,MolSentence with 56 words
1178,1,MolSentence with 48 words
1179,1,MolSentence with 42 words
1180,1,MolSentence with 72 words
1181,1,MolSentence with 40 words
1182,1,MolSentence with 42 words
1183,1,MolSentence with 26 words
1184,1,MolSentence with 28 words
1185,1,MolSentence with 44 words
1186,1,MolSentence with 54 words
1187,1,MolSentence with 56 words
1188,1,MolSentence with 32 words
1189,1,MolSentence with 42 words
1190,1,MolSentence with 62 words
1191,1,MolSentence with 32 words
1192,1,MolSentence with 42 words
1193,1,MolSentence with 42 words
1194,1,MolSentence with 50 words
1195,1,MolSentence with 40 words
1196,1,MolSentence with 52 words
1197,1,MolSentence with 44 words
1198,1,MolSentence with 44 words
1199,1,MolSentence with 40 words
1200,1,MolSentence with 40 words
1201,1,MolSentence with 40 words
1202,1,MolSentence with 40 words
1203,1,MolSentence with 6 words
1204,1,MolSentence with 3 words
1205,1,MolSentence with 26 words
1206,1,MolSentence with 30 words
1207,1,MolSentence with 44 words
1208,1,MolSentence with 24 words
1209,1,MolSentence with 52 words
1210,1,MolSentence with 74 words
1211,1,MolSentence with 52 words
1212,1,MolSentence with 60 words
1213,1,MolSentence with 38 words
1214,1,MolSentence with 46 words
1215,1,MolSentence with 42 words
1216,1,MolSentence with 40 words
1217,1,MolSentence with 28 words
1218,1,MolSentence with 58 words
1219,1,MolSentence with 34 words
1220,1,MolSentence with 46 words
1221,1,MolSentence with 54 words
1222,1,MolSentence with 54 words
1223,1,MolSentence with 32 words
1224,1,MolSentence with 42 words
1225,1,MolSentence with 40 words
1226,1,MolSentence with 32 words
1227,1,MolSentence with 30 words
1228,1,MolSentence with 28 words
1229,1,MolSentence with 36 words
1230,1,MolSentence with 30 words
1231,1,MolSentence with 30 words
1232,1,MolSentence with 40 words
1233,1,MolSentence with 54 words
1234,1,MolSentence with 30 words
1235,1,MolSentence with 42 words
1236,1,MolSentence with 54 words
1237,1,MolSentence with 66 words
1238,1,MolSentence with 42 words
1239,1,MolSentence with 58 words
1240,1,MolSentence with 64 words
1241,1,MolSentence with 54 words
1242,1,MolSentence with 60 words
1243,1,MolSentence with 46 words
1244,1,MolSentence with 70 words
1245,1,MolSentence with 70 words
1246,1,MolSentence with 64 words
1247,1,MolSentence with 68 words
1248,1,MolSentence with 24 words
1249,1,MolSentence with 60 words
1250,1,MolSentence with 50 words
1251,1,MolSentence with 44 words
1252,1,MolSentence with 76 words
1253,1,MolSentence with 62 words
1254,1,MolSentence with 44 words
1255,1,MolSentence with 70 words
1256,1,MolSentence with 52 words
1257,1,MolSentence with 44 words
1258,1,MolSentence with 60 words
1259,1,MolSentence with 68 words
1260,1,MolSentence with 58 words
1261,1,MolSentence with 38 words
1262,1,MolSentence with 66 words
1263,1,MolSentence with 60 words
1264,1,MolSentence with 60 words
1265,1,MolSentence with 38 words
1266,1,MolSentence with 64 words
1267,1,MolSentence with 78 words
1268,1,MolSentence with 48 words
1269,1,MolSentence with 38 words
1270,1,MolSentence with 16 words
1271,1,MolSentence with 50 words
1272,1,MolSentence with 58 words
1273,1,MolSentence with 62 words
1274,1,MolSentence with 62 words
1275,1,MolSentence with 52 words
1276,1,MolSentence with 20 words
1277,1,MolSentence with 48 words
1278,1,MolSentence with 60 words
1279,1,MolSentence with 44 words
1280,1,MolSentence with 54 words
1281,1,MolSentence with 46 words
1282,1,MolSentence with 46 words
1283,1,MolSentence with 62 words
1284,1,MolSentence with 56 words
1285,1,MolSentence with 58 words
1286,1,MolSentence with 74 words
1287,1,MolSentence with 58 words
1288,1,MolSentence with 46 words
1289,1,MolSentence with 42 words
1290,1,MolSentence with 56 words
1291,1,MolSentence with 66 words
1292,1,MolSentence with 32 words
1293,1,MolSentence with 68 words
1294,1,MolSentence with 66 words
1295,1,MolSentence with 67 words
1296,1,MolSentence with 64 words
1297,1,MolSentence with 70 words
1298,1,MolSentence with 44 words
1299,1,MolSentence with 46 words
1300,1,MolSentence with 20 words
1301,1,MolSentence with 52 words
1302,1,MolSentence with 32 words
1303,1,MolSentence with 38 words
1304,1,MolSentence with 62 words
1305,1,MolSentence with 66 words
1306,1,MolSentence with 36 words
1307,1,MolSentence with 44 words
1308,1,MolSentence with 40 words
1309,1,MolSentence with 34 words
1310,1,MolSentence with 50 words
1311,1,MolSentence with 40 words
1312,1,MolSentence with 32 words
1313,1,MolSentence with 40 words
1314,1,MolSentence with 58 words
1315,1,MolSentence with 34 words
1316,1,MolSentence with 54 words
1317,1,MolSentence with 60 words
1318,1,MolSentence with 80 words
1319,1,MolSentence with 46 words
1320,1,MolSentence with 42 words
1321,1,MolSentence with 52 words
1322,1,MolSentence with 36 words
1323,1,MolSentence with 44 words
1324,1,MolSentence with 54 words
1325,1,MolSentence with 60 words
1326,1,MolSentence with 50 words
1327,1,MolSentence with 42 words
1328,1,MolSentence with 38 words
1329,1,MolSentence with 60 words
1330,1,MolSentence with 62 words
1331,1,MolSentence with 32 words
1332,1,MolSentence with 42 words
1333,1,MolSentence with 66 words
1334,1,MolSentence with 54 words
1335,1,MolSentence with 44 words
1336,1,MolSentence with 58 words
1337,1,MolSentence with 40 words
1338,1,MolSentence with 53 words
1339,1,MolSentence with 34 words
1340,1,MolSentence with 64 words
1341,1,MolSentence with 46 words
1342,1,MolSentence with 56 words
1343,1,MolSentence with 40 words
1344,1,MolSentence with 64 words
1345,1,MolSentence with 20 words
1346,1,MolSentence with 32 words
1347,1,MolSentence with 46 words
1348,1,MolSentence with 22 words
1349,1,MolSentence with 56 words
1350,1,MolSentence with 50 words
1351,1,MolSentence with 42 words
1352,1,MolSentence with 44 words
1353,1,MolSentence with 38 words
1354,1,MolSentence with 26 words
1355,1,MolSentence with 32 words
1356,1,MolSentence with 46 words
1357,1,MolSentence with 46 words
1358,1,MolSentence with 50 words
1359,1,MolSentence with 22 words
1360,1,MolSentence with 28 words
1361,1,MolSentence with 36 words
1362,1,MolSentence with 28 words
1363,1,MolSentence with 36 words
1364,1,MolSentence with 42 words
1365,1,MolSentence with 44 words
1366,1,MolSentence with 68 words
1367,1,MolSentence with 46 words
1368,1,MolSentence with 82 words
1369,1,MolSentence with 60 words
1370,1,MolSentence with 44 words
1371,1,MolSentence with 62 words
1372,1,MolSentence with 48 words
1373,1,MolSentence with 38 words
1374,1,MolSentence with 56 words
1375,1,MolSentence with 48 words
1376,1,MolSentence with 36 words
1377,1,MolSentence with 50 words
1378,1,MolSentence with 44 words
1379,1,MolSentence with 20 words
1380,1,MolSentence with 22 words
1381,1,MolSentence with 44 words
1382,1,MolSentence with 58 words
1383,1,MolSentence with 58 words
1384,1,MolSentence with 36 words
1385,1,MolSentence with 38 words
1386,1,MolSentence with 56 words
1387,1,MolSentence with 42 words
1388,1,MolSentence with 42 words
1389,1,MolSentence with 68 words
1390,1,MolSentence with 48 words
1391,1,MolSentence with 34 words
1392,1,MolSentence with 46 words
1393,1,MolSentence with 86 words
1394,1,MolSentence with 78 words
1395,1,MolSentence with 54 words
1396,1,MolSentence with 36 words
1397,1,MolSentence with 69 words
1398,1,MolSentence with 52 words
1399,1,MolSentence with 50 words
1400,1,MolSentence with 52 words
1401,1,MolSentence with 33 words
1402,1,MolSentence with 32 words
1403,1,MolSentence with 34 words
1404,1,MolSentence with 68 words
1405,1,MolSentence with 36 words
1406,1,MolSentence with 58 words
1407,1,MolSentence with 44 words
1408,1,MolSentence with 52 words
1409,1,MolSentence with 78 words
1410,1,MolSentence with 74 words
1411,1,MolSentence with 28 words
1412,1,MolSentence with 18 words
1413,1,MolSentence with 26 words
1414,1,MolSentence with 44 words
1415,1,MolSentence with 38 words
1416,1,MolSentence with 40 words
1417,1,MolSentence with 34 words
1418,1,MolSentence with 64 words
1419,1,MolSentence with 36 words
1420,1,MolSentence with 36 words
1421,1,MolSentence with 38 words
1422,1,MolSentence with 12 words
1423,1,MolSentence with 36 words
1424,1,MolSentence with 40 words
1425,1,MolSentence with 38 words
1426,1,MolSentence with 60 words
1427,1,MolSentence with 44 words
1428,1,MolSentence with 48 words
1429,1,MolSentence with 62 words
1430,1,MolSentence with 46 words
1431,1,MolSentence with 20 words
1432,1,MolSentence with 42 words
1433,1,MolSentence with 68 words
1434,1,MolSentence with 38 words
1435,1,MolSentence with 38 words
1436,1,MolSentence with 38 words
1437,1,MolSentence with 22 words
1438,1,MolSentence with 54 words
1439,1,MolSentence with 32 words
1440,1,MolSentence with 44 words
1441,1,MolSentence with 58 words
1442,1,MolSentence with 50 words
1443,1,MolSentence with 62 words
1444,1,MolSentence with 48 words
1445,1,MolSentence with 58 words
1446,1,MolSentence with 18 words
1447,1,MolSentence with 62 words
1448,1,MolSentence with 24 words
1449,1,MolSentence with 48 words
1450,1,MolSentence with 68 words
1451,1,MolSentence with 72 words
1452,1,MolSentence with 28 words
1453,1,MolSentence with 54 words
1454,1,MolSentence with 28 words
1455,1,MolSentence with 42 words
1456,1,MolSentence with 44 words
1457,1,MolSentence with 60 words
1458,1,MolSentence with 54 words
1459,1,MolSentence with 66 words
1460,1,MolSentence with 26 words
1461,1,MolSentence with 48 words
1462,1,MolSentence with 30 words
1463,1,MolSentence with 26 words
1464,1,MolSentence with 24 words
1465,1,MolSentence with 28 words
1466,1,MolSentence with 32 words
1467,1,MolSentence with 38 words
1468,1,MolSentence with 38 words
1469,1,MolSentence with 42 words
1470,1,MolSentence with 36 words
1471,1,MolSentence with 38 words
1472,1,MolSentence with 48 words
1473,1,MolSentence with 58 words
1474,1,MolSentence with 50 words
1475,1,MolSentence with 44 words
1476,1,MolSentence with 98 words
1477,1,MolSentence with 36 words
1478,1,MolSentence with 20 words
1479,1,MolSentence with 38 words
1480,1,MolSentence with 52 words
1481,1,MolSentence with 64 words
1482,1,MolSentence with 36 words
1483,1,MolSentence with 26 words
1484,1,MolSentence with 52 words
1485,1,MolSentence with 38 words
1486,1,MolSentence with 44 words
1487,1,MolSentence with 70 words
1488,1,MolSentence with 68 words
1489,1,MolSentence with 98 words
1490,1,MolSentence with 66 words
1491,1,MolSentence with 54 words
1492,1,MolSentence with 22 words
1493,1,MolSentence with 60 words
1494,1,MolSentence with 42 words
1495,1,MolSentence with 32 words
1496,1,MolSentence with 26 words
1497,1,MolSentence with 50 words
1498,1,MolSentence with 46 words
1499,1,MolSentence with 32 words
1500,1,MolSentence with 26 words
1501,1,MolSentence with 38 words
1502,1,MolSentence with 6 words
1503,1,MolSentence with 44 words
1504,1,MolSentence with 26 words
1505,1,MolSentence with 56 words
1506,1,MolSentence with 40 words
1507,1,MolSentence with 32 words
1508,1,MolSentence with 44 words
1509,1,MolSentence with 34 words
1510,1,MolSentence with 38 words
1511,1,MolSentence with 30 words
1512,1,MolSentence with 48 words
1513,1,MolSentence with 54 words
1514,1,MolSentence with 56 words
1515,1,MolSentence with 54 words
1516,1,MolSentence with 46 words
1517,1,MolSentence with 26 words
1518,1,MolSentence with 50 words
1519,1,MolSentence with 40 words
1520,1,MolSentence with 54 words
1521,1,MolSentence with 52 words
1522,1,MolSentence with 44 words
1523,1,MolSentence with 46 words
1524,1,MolSentence with 64 words
1525,1,MolSentence with 48 words
1526,1,MolSentence with 54 words
1527,1,MolSentence with 40 words
1528,1,MolSentence with 36 words
1529,1,MolSentence with 46 words
1530,1,MolSentence with 46 words
1531,1,MolSentence with 32 words
1532,1,MolSentence with 66 words
1533,1,MolSentence with 36 words
1534,1,MolSentence with 40 words
1535,1,MolSentence with 52 words
1536,1,MolSentence with 28 words
1537,1,MolSentence with 38 words
1538,1,MolSentence with 50 words
1539,1,MolSentence with 28 words
1540,1,MolSentence with 40 words
1541,1,MolSentence with 20 words
1542,1,MolSentence with 38 words
1543,1,MolSentence with 48 words
1544,1,MolSentence with 48 words
1545,1,MolSentence with 56 words
1546,1,MolSentence with 28 words
1547,1,MolSentence with 50 words
1548,1,MolSentence with 62 words
1549,1,MolSentence with 40 words
1550,1,MolSentence with 55 words
1551,1,MolSentence with 38 words
1552,1,MolSentence with 40 words
1553,1,MolSentence with 60 words
1554,1,MolSentence with 34 words
1555,1,MolSentence with 58 words
1556,1,MolSentence with 56 words
1557,1,MolSentence with 56 words
1558,1,MolSentence with 58 words
1559,1,MolSentence with 46 words
1560,1,MolSentence with 60 words
1561,1,MolSentence with 34 words
1562,1,MolSentence with 48 words
1563,1,MolSentence with 34 words
1564,1,MolSentence with 26 words
1565,1,MolSentence with 44 words
1566,1,MolSentence with 36 words
1567,1,MolSentence with 48 words
1568,1,MolSentence with 44 words
1569,1,MolSentence with 48 words
1570,1,MolSentence with 68 words
1571,1,MolSentence with 62 words
1572,1,MolSentence with 30 words
1573,1,MolSentence with 40 words
1574,1,MolSentence with 44 words
1575,1,MolSentence with 44 words
1576,1,MolSentence with 40 words
1577,1,MolSentence with 60 words
1578,1,MolSentence with 36 words
1579,1,MolSentence with 30 words
1580,1,MolSentence with 64 words
1581,1,MolSentence with 54 words
1582,1,MolSentence with 42 words
1583,1,MolSentence with 82 words
1584,1,MolSentence with 42 words
1585,1,MolSentence with 62 words
1586,1,MolSentence with 38 words
1587,1,MolSentence with 58 words
1588,1,MolSentence with 62 words
1589,1,MolSentence with 24 words
1590,1,MolSentence with 38 words
1591,1,MolSentence with 50 words
1592,1,MolSentence with 34 words
1593,1,MolSentence with 46 words
1594,1,MolSentence with 32 words
1595,1,MolSentence with 38 words
1596,1,MolSentence with 50 words
1597,1,MolSentence with 36 words
1598,1,MolSentence with 34 words
1599,1,MolSentence with 46 words
1600,1,MolSentence with 60 words
1601,1,MolSentence with 60 words
1602,1,MolSentence with 30 words
1603,1,MolSentence with 50 words
1604,1,MolSentence with 58 words
1605,1,MolSentence with 36 words
1606,1,MolSentence with 30 words
1607,1,MolSentence with 42 words
1608,1,MolSentence with 44 words
1609,1,MolSentence with 56 words
1610,1,MolSentence with 28 words
1611,1,MolSentence with 62 words
1612,1,MolSentence with 32 words
1613,1,MolSentence with 50 words
1614,1,MolSentence with 64 words
1615,1,MolSentence with 62 words
1616,1,MolSentence with 54 words
1617,1,MolSentence with 56 words
1618,1,MolSentence with 52 words
1619,1,MolSentence with 52 words
1620,1,MolSentence with 64 words
1621,1,MolSentence with 38 words
1622,1,MolSentence with 56 words
1623,1,MolSentence with 50 words
1624,1,MolSentence with 42 words
1625,1,MolSentence with 36 words
1626,1,MolSentence with 64 words
1627,1,MolSentence with 52 words
1628,1,MolSentence with 44 words
1629,1,MolSentence with 44 words
1630,1,MolSentence with 64 words
1631,1,MolSentence with 40 words
1632,1,MolSentence with 28 words
1633,1,MolSentence with 70 words
1634,1,MolSentence with 90 words
1635,1,MolSentence with 84 words
1636,1,MolSentence with 12 words
1637,1,MolSentence with 46 words
1638,1,MolSentence with 48 words
1639,1,MolSentence with 20 words
1640,1,MolSentence with 64 words
1641,1,MolSentence with 54 words
1642,1,MolSentence with 46 words
1643,1,MolSentence with 44 words
1644,1,MolSentence with 30 words
1645,1,MolSentence with 48 words
1646,1,MolSentence with 74 words
1647,1,MolSentence with 12 words
1648,1,MolSentence with 46 words
1649,1,MolSentence with 26 words
1650,1,MolSentence with 50 words
1651,1,MolSentence with 36 words
1652,1,MolSentence with 60 words
1653,1,MolSentence with 32 words
1654,1,MolSentence with 40 words
1655,1,MolSentence with 52 words
1656,1,MolSentence with 18 words
1657,1,MolSentence with 34 words
1658,1,MolSentence with 10 words
1659,1,MolSentence with 62 words
1660,1,MolSentence with 56 words
1661,1,MolSentence with 56 words
1662,1,MolSentence with 50 words
1663,1,MolSentence with 30 words
1664,1,MolSentence with 42 words
1665,1,MolSentence with 62 words
1666,1,MolSentence with 42 words
1667,1,MolSentence with 56 words
1668,1,MolSentence with 42 words
1669,1,MolSentence with 58 words
1670,1,MolSentence with 34 words
1671,1,MolSentence with 54 words
1672,1,MolSentence with 44 words
1673,1,MolSentence with 32 words
1674,1,MolSentence with 46 words
1675,1,MolSentence with 50 words
1676,1,MolSentence with 28 words
1677,1,MolSentence with 56 words
1678,1,MolSentence with 24 words
1679,1,MolSentence with 50 words
1680,1,MolSentence with 42 words
1681,1,MolSentence with 64 words
1682,1,MolSentence with 38 words
1683,1,MolSentence with 54 words
1684,1,MolSentence with 70 words
1685,1,MolSentence with 44 words
1686,1,MolSentence with 46 words
1687,1,MolSentence with 48 words
1688,1,MolSentence with 34 words
1689,1,MolSentence with 46 words
1690,1,MolSentence with 60 words
1691,1,MolSentence with 44 words
1692,1,MolSentence with 52 words
1693,1,MolSentence with 54 words
1694,1,MolSentence with 48 words
1695,1,MolSentence with 62 words
1696,1,MolSentence with 46 words
1697,1,MolSentence with 42 words
1698,1,MolSentence with 46 words
1699,1,MolSentence with 72 words
1700,1,MolSentence with 48 words
1701,1,MolSentence with 44 words
1702,1,MolSentence with 36 words
1703,1,MolSentence with 50 words
1704,1,MolSentence with 34 words
1705,1,MolSentence with 38 words
1706,1,MolSentence with 36 words
1707,1,MolSentence with 40 words
1708,1,MolSentence with 46 words
1709,1,MolSentence with 72 words
1710,1,MolSentence with 62 words
1711,1,MolSentence with 72 words
1712,1,MolSentence with 42 words
1713,1,MolSentence with 44 words
1714,1,MolSentence with 32 words
1715,1,MolSentence with 60 words
1716,1,MolSentence with 36 words
1717,1,MolSentence with 30 words
1718,1,MolSentence with 40 words
1719,1,MolSentence with 40 words
1720,1,MolSentence with 74 words
1721,1,MolSentence with 62 words
1722,1,MolSentence with 44 words
1723,1,MolSentence with 46 words
1724,1,MolSentence with 56 words
1725,1,MolSentence with 32 words
1726,1,MolSentence with 32 words
1727,1,MolSentence with 44 words
1728,1,MolSentence with 30 words
1729,1,MolSentence with 24 words
1730,1,MolSentence with 24 words
1731,1,MolSentence with 58 words
1732,1,MolSentence with 66 words
1733,1,MolSentence with 44 words
1734,1,MolSentence with 34 words
1735,1,MolSentence with 42 words
1736,1,MolSentence with 12 words
1737,1,MolSentence with 60 words
1738,1,MolSentence with 86 words
1739,1,MolSentence with 32 words
1740,1,MolSentence with 42 words
1741,1,MolSentence with 28 words
1742,1,MolSentence with 46 words
1743,1,MolSentence with 42 words
1744,1,MolSentence with 40 words
1745,1,MolSentence with 42 words
1746,1,MolSentence with 54 words
1747,1,MolSentence with 54 words
1748,1,MolSentence with 58 words
1749,1,MolSentence with 58 words
1750,1,MolSentence with 28 words
1751,1,MolSentence with 34 words
1752,1,MolSentence with 56 words
1753,1,MolSentence with 48 words
1754,1,MolSentence with 36 words
1755,1,MolSentence with 44 words
1756,1,MolSentence with 40 words
1757,1,MolSentence with 46 words
1758,1,MolSentence with 56 words
1759,1,MolSentence with 64 words
1760,1,MolSentence with 38 words
1761,1,MolSentence with 42 words
1762,1,MolSentence with 44 words
1763,1,MolSentence with 46 words
1764,1,MolSentence with 38 words
1765,1,MolSentence with 46 words
1766,1,MolSentence with 54 words
1767,1,MolSentence with 66 words
1768,1,MolSentence with 34 words
1769,1,MolSentence with 46 words
1770,1,MolSentence with 32 words
1771,1,MolSentence with 24 words
1772,1,MolSentence with 48 words
1773,1,MolSentence with 38 words
1774,1,MolSentence with 42 words
1775,1,MolSentence with 38 words
1776,1,MolSentence with 44 words
1777,1,MolSentence with 46 words
1778,1,MolSentence with 52 words
1779,1,MolSentence with 38 words
1780,1,MolSentence with 56 words
1781,1,MolSentence with 64 words
1782,1,MolSentence with 40 words
1783,1,MolSentence with 40 words
1784,1,MolSentence with 42 words
1785,1,MolSentence with 44 words
1786,1,MolSentence with 42 words
1787,1,MolSentence with 20 words
1788,1,MolSentence with 40 words
1789,1,MolSentence with 52 words
1790,1,MolSentence with 58 words
1791,1,MolSentence with 38 words
1792,1,MolSentence with 36 words
1793,1,MolSentence with 36 words
1794,1,MolSentence with 58 words
1795,1,MolSentence with 44 words
1796,1,MolSentence with 30 words
1797,1,MolSentence with 36 words
1798,1,MolSentence with 42 words
1799,1,MolSentence with 42 words
1800,1,MolSentence with 46 words
1801,1,MolSentence with 70 words
1802,1,MolSentence with 72 words
1803,1,MolSentence with 38 words
1804,1,MolSentence with 44 words
1805,1,MolSentence with 56 words
1806,1,MolSentence with 44 words
1807,1,MolSentence with 50 words
1808,1,MolSentence with 40 words
1809,1,MolSentence with 44 words
1810,1,MolSentence with 48 words
1811,1,MolSentence with 36 words
1812,1,MolSentence with 54 words
1813,1,MolSentence with 62 words
1814,1,MolSentence with 56 words
1815,1,MolSentence with 42 words
1816,1,MolSentence with 44 words
1817,1,MolSentence with 38 words
1818,1,MolSentence with 34 words
